Hour,Day,Month,Year,Demand(MW),Day_of_week
8,15,6,2021,9623,3
9,15,6,2021,9950,3
10,15,6,2021,10200,3
11,15,6,2021,10540,3
12,15,6,2021,10948,3
13,15,6,2021,11074,3
14,15,6,2021,10994,3
15,15,6,2021,10928,3
16,15,6,2021,10829,3
17,15,6,2021,10242,3
18,15,6,2021,10057,3
19,15,6,2021,11294,3
20,15,6,2021,12326,3
21,15,6,2021,12352,3
22,15,6,2021,12406,3
23,15,6,2021,12167,3
24,15,6,2021,12050,3
1,16,6,2021,11642,4
2,16,6,2021,11303,4
3,16,6,2021,11012,4
4,16,6,2021,10493,4
5,16,6,2021,10215,4
6,16,6,2021,9138,4
7,16,6,2021,8918,4
8,16,6,2021,8947,4
9,16,6,2021,9135,4
10,16,6,2021,9577,4
11,16,6,2021,9609,4
12,16,6,2021,9945,4
13,16,6,2021,10073,4
14,16,6,2021,9879,4
15,16,6,2021,10151,4
16,16,6,2021,9919,4
17,16,6,2021,9696,4
18,16,6,2021,9519,4
19,16,6,2021,10463,4
20,16,6,2021,11687,4
21,16,6,2021,11896,4
22,16,6,2021,11776,4
23,16,6,2021,11504,4
24,16,6,2021,11235,4
1,17,6,2021,10892,5
2,17,6,2021,10408,5
3,17,6,2021,10141,5
4,17,6,2021,9880,5
5,17,6,2021,9596,5
6,17,6,2021,8691,5
7,17,6,2021,8550,5
8,17,6,2021,8594,5
9,17,6,2021,9128,5
10,17,6,2021,9261,5
11,17,6,2021,9438,5
12,17,6,2021,9766,5
13,17,6,2021,9865,5
14,17,6,2021,9868,5
15,17,6,2021,9927,5
16,17,6,2021,9860,5
17,17,6,2021,9398,5
18,17,6,2021,9215,5
19,17,6,2021,10128,5
20,17,6,2021,11519,5
21,17,6,2021,11455,5
22,17,6,2021,11191,5
23,17,6,2021,11322,5
24,17,6,2021,11183,5
1,18,6,2021,10703,6
2,18,6,2021,10109,6
3,18,6,2021,9745,6
4,18,6,2021,9359,6
5,18,6,2021,8948,6
6,18,6,2021,7872,6
7,18,6,2021,7832,6
8,18,6,2021,7634,6
9,18,6,2021,7369,6
10,18,6,2021,7573,6
11,18,6,2021,7609,6
12,18,6,2021,8115,6
13,18,6,2021,8523,6
14,18,6,2021,8132,6
15,18,6,2021,8133,6
16,18,6,2021,7768,6
17,18,6,2021,7491,6
18,18,6,2021,7740,6
19,18,6,2021,8998,6
20,18,6,2021,10410,6
21,18,6,2021,10628,6
22,18,6,2021,10417,6
23,18,6,2021,10067,6
24,18,6,2021,9861,6
1,19,6,2021,9482,7
2,19,6,2021,9137,7
3,19,6,2021,8750,7
4,19,6,2021,8518,7
5,19,6,2021,8229,7
6,19,6,2021,7717,7
7,19,6,2021,7683,7
8,19,6,2021,7676,7
9,19,6,2021,7883,7
10,19,6,2021,8055,7
11,19,6,2021,8208,7
12,19,6,2021,8530,7
13,19,6,2021,8649,7
14,19,6,2021,8598,7
15,19,6,2021,8721,7
16,19,6,2021,8420,7
17,19,6,2021,8234,7
18,19,6,2021,8439,7
19,19,6,2021,9949,7
20,19,6,2021,10706,7
21,19,6,2021,10821,7
22,19,6,2021,10583,7
23,19,6,2021,10127,7
24,19,6,2021,9923,7
1,20,6,2021,9574,1
2,20,6,2021,9126,1
3,20,6,2021,8932,1
4,20,6,2021,8712,1
5,20,6,2021,8536,1
6,20,6,2021,8036,1
7,20,6,2021,7929,1
8,20,6,2021,8081,1
9,20,6,2021,8523,1
10,20,6,2021,8966,1
11,20,6,2021,9141,1
12,20,6,2021,9409,1
13,20,6,2021,9479,1
14,20,6,2021,9366,1
15,20,6,2021,9493,1
16,20,6,2021,9327,1
17,20,6,2021,9099,1
18,20,6,2021,9065,1
19,20,6,2021,10201,1
20,20,6,2021,11251,1
21,20,6,2021,11115,1
22,20,6,2021,11031,1
23,20,6,2021,10881,1
24,20,6,2021,10589,1
1,21,6,2021,9972,2
2,21,6,2021,9687,2
3,21,6,2021,9379,2
4,21,6,2021,9208,2
5,21,6,2021,8957,2
6,21,6,2021,8337,2
7,21,6,2021,8241,2
8,21,6,2021,8397,2
9,21,6,2021,9026,2
10,21,6,2021,9428,2
11,21,6,2021,9739,2
12,21,6,2021,10314,2
13,21,6,2021,10260,2
14,21,6,2021,10220,2
15,21,6,2021,10404,2
16,21,6,2021,10296,2
17,21,6,2021,10044,2
18,21,6,2021,9588,2
19,21,6,2021,10639,2
20,21,6,2021,12063,2
21,21,6,2021,12356,2
22,21,6,2021,12019,2
23,21,6,2021,11927,2
24,21,6,2021,11617,2
1,22,6,2021,11074,3
2,22,6,2021,10442,3
3,22,6,2021,10211,3
4,22,6,2021,9907,3
5,22,6,2021,9688,3
6,22,6,2021,8891,3
7,22,6,2021,8753,3
8,22,6,2021,8623,3
9,22,6,2021,8869,3
10,22,6,2021,9299,3
11,22,6,2021,9540,3
12,22,6,2021,9884,3
13,22,6,2021,10082,3
14,22,6,2021,10081,3
15,22,6,2021,10265,3
16,22,6,2021,10140,3
17,22,6,2021,9862,3
18,22,6,2021,9422,3
19,22,6,2021,10498,3
