Year,Month,Day,Hour,Demand(kW),Day_of_week,Holiday
2021,6,15,6,200.94,3,1
2021,6,15,7,194.9,3,1
2021,6,15,8,192.46,3,1
2021,6,15,9,199.0,3,1
2021,6,15,10,204.0,3,1
2021,6,15,11,210.8,3,1
2021,6,15,12,218.96,3,1
2021,6,15,13,221.48,3,1
2021,6,15,14,219.88,3,1
2021,6,15,15,218.56,3,1
2021,6,15,16,216.58,3,1
2021,6,15,17,204.84,3,1
2021,6,15,18,201.14,3,1
2021,6,15,19,225.88,3,1
2021,6,15,20,246.52,3,1
2021,6,15,21,247.04,3,1
2021,6,15,22,248.12,3,1
2021,6,15,23,243.34,3,1
2021,6,15,24,241.0,3,1
2021,6,16,1,232.84,4,1
2021,6,16,2,226.06,4,1
2021,6,16,3,220.24,4,1
2021,6,16,4,209.86,4,1
2021,6,16,5,204.3,4,1
2021,6,16,6,182.76,4,1
2021,6,16,7,178.36,4,1
2021,6,16,8,178.94,4,1
2021,6,16,9,182.7,4,1
2021,6,16,10,191.54,4,1
2021,6,16,11,192.18,4,1
2021,6,16,12,198.9,4,1
2021,6,16,13,201.46,4,1
2021,6,16,14,197.58,4,1
2021,6,16,15,203.02,4,1
2021,6,16,16,198.38,4,1
2021,6,16,17,193.92,4,1
2021,6,16,18,190.38,4,1
2021,6,16,19,209.26,4,1
2021,6,16,20,233.74,4,1
2021,6,16,21,237.92,4,1
2021,6,16,22,235.52,4,1
2021,6,16,23,230.08,4,1
2021,6,16,24,224.7,4,1
2021,6,17,1,217.84,5,1
2021,6,17,2,208.16,5,1
2021,6,17,3,202.82,5,1
2021,6,17,4,197.6,5,1
2021,6,17,5,191.92,5,1
2021,6,17,6,173.82,5,1
2021,6,17,7,171.0,5,1
2021,6,17,8,171.88,5,1
2021,6,17,9,182.56,5,1
2021,6,17,10,185.22,5,1
2021,6,17,11,188.76,5,1
2021,6,17,12,195.32,5,1
2021,6,17,13,197.3,5,1
2021,6,17,14,197.36,5,1
2021,6,17,15,198.54,5,1
2021,6,17,16,197.2,5,1
2021,6,17,17,187.96,5,1
2021,6,17,18,184.3,5,1
2021,6,17,19,202.56,5,1
2021,6,17,20,230.38,5,1
2021,6,17,21,229.1,5,1
2021,6,17,22,223.82,5,1
2021,6,17,23,226.44,5,1
2021,6,17,24,223.66,5,1
2021,6,18,1,214.06,6,1
2021,6,18,2,202.18,6,1
2021,6,18,3,194.9,6,1
2021,6,18,4,187.18,6,1
2021,6,18,5,178.96,6,1
2021,6,18,6,157.44,6,1
2021,6,18,7,156.64,6,1
2021,6,18,8,152.68,6,1
2021,6,18,9,147.38,6,1
2021,6,18,10,151.46,6,1
2021,6,18,11,152.18,6,1
2021,6,18,12,162.3,6,1
2021,6,18,13,170.46,6,1
2021,6,18,14,162.64,6,1
2021,6,18,15,162.66,6,1
2021,6,18,16,155.36,6,1
2021,6,18,17,149.82,6,1
2021,6,18,18,154.8,6,1
2021,6,18,19,179.96,6,1
2021,6,18,20,208.2,6,1
2021,6,18,21,212.56,6,1
2021,6,18,22,208.34,6,1
2021,6,18,23,201.34,6,1
2021,6,18,24,197.22,6,1
2021,6,19,1,189.64,7,1
2021,6,19,2,182.74,7,1
2021,6,19,3,175.0,7,1
2021,6,19,4,170.36,7,1
2021,6,19,5,164.58,7,1
2021,6,19,6,154.34,7,1
2021,6,19,7,153.66,7,1
2021,6,19,8,153.52,7,1
2021,6,19,9,157.66,7,1
2021,6,19,10,161.1,7,1
2021,6,19,11,164.16,7,1
2021,6,19,12,170.6,7,1
2021,6,19,13,172.98,7,1
2021,6,19,14,171.96,7,1
2021,6,19,15,174.42,7,1
2021,6,19,16,168.4,7,1
2021,6,19,17,164.68,7,1
2021,6,19,18,168.78,7,1
2021,6,19,19,198.98,7,1
2021,6,19,20,214.12,7,1
2021,6,19,21,216.42,7,1
2021,6,19,22,211.66,7,1
2021,6,19,23,202.54,7,1
2021,6,19,24,198.46,7,1
2021,6,20,1,191.48,1,1
2021,6,20,2,182.52,1,1
2021,6,20,3,178.64,1,1
2021,6,20,4,174.24,1,1
2021,6,20,5,170.72,1,1
2021,6,20,6,160.72,1,1
2021,6,20,7,158.58,1,1
2021,6,20,8,161.62,1,1
2021,6,20,9,170.46,1,1
2021,6,20,10,179.32,1,1
2021,6,20,11,182.82,1,1
2021,6,20,12,188.18,1,1
2021,6,20,13,189.58,1,1
2021,6,20,14,187.32,1,1
2021,6,20,15,189.86,1,1
2021,6,20,16,186.54,1,1
2021,6,20,17,181.98,1,1
2021,6,20,18,181.3,1,1
2021,6,20,19,204.02,1,1
2021,6,20,20,225.02,1,1
2021,6,20,21,222.3,1,1
2021,6,20,22,220.62,1,1
2021,6,20,23,217.62,1,1
2021,6,20,24,211.78,1,1
2021,6,21,1,199.44,2,1
2021,6,21,2,193.74,2,1
2021,6,21,3,187.58,2,1
2021,6,21,4,184.16,2,1
2021,6,21,5,179.14,2,1
2021,6,21,6,166.74,2,1
2021,6,21,7,164.82,2,1
2021,6,21,8,167.94,2,1
2021,6,21,9,180.52,2,1
2021,6,21,10,188.56,2,1
2021,6,21,11,194.78,2,1
2021,6,21,12,206.28,2,1
2021,6,21,13,205.2,2,1
2021,6,21,14,204.4,2,1
2021,6,21,15,208.08,2,1
2021,6,21,16,205.92,2,1
2021,6,21,17,200.88,2,1
2021,6,21,18,191.76,2,1
2021,6,21,19,212.78,2,1
2021,6,21,20,241.26,2,1
2021,6,21,21,247.12,2,1
2021,6,21,22,240.38,2,1
2021,6,21,23,238.54,2,1
2021,6,21,24,232.34,2,1
2021,6,22,1,221.48,3,1
2021,6,22,2,208.84,3,1
2021,6,22,3,204.22,3,1
2021,6,22,4,198.14,3,1
2021,6,22,5,193.76,3,1
2021,6,22,6,177.82,3,1
2021,6,22,7,175.06,3,1
2021,6,22,8,172.46,3,1
2021,6,22,9,177.38,3,1
2021,6,22,10,185.98,3,1
2021,6,22,11,190.8,3,1
2021,6,22,12,197.68,3,1
2021,6,22,13,201.64,3,1
2021,6,22,14,201.62,3,1
2021,6,22,15,205.3,3,1
2021,6,22,16,202.8,3,1
2021,6,22,17,197.24,3,1
2021,6,22,18,188.44,3,1
2021,6,22,19,209.96,3,1
2021,6,22,20,239.4,3,1
2021,6,22,21,242.12,3,1
2021,6,22,22,242.9,3,1
2021,6,22,23,236.2,3,1
2021,6,22,24,233.12,3,1
2021,6,23,1,224.16,4,1
2021,6,23,2,216.78,4,1
2021,6,23,3,210.66,4,1
2021,6,23,4,206.42,4,1
2021,6,23,5,200.56,4,1
2021,6,23,6,186.0,4,1
2021,6,23,7,179.76,4,1
2021,6,23,8,185.44,4,1
2021,6,23,9,193.72,4,1
2021,6,23,10,201.1,4,1
2021,6,23,11,207.26,4,1
2021,6,23,12,213.52,4,1
2021,6,23,13,218.1,4,1
2021,6,23,14,217.84,4,1
2021,6,23,15,221.68,4,1
2021,6,23,16,217.74,4,1
2021,6,23,17,206.26,4,1
2021,6,23,18,196.98,4,1
2021,6,23,19,214.3,4,1
2021,6,23,20,245.5,4,1
2021,6,23,21,252.22,4,1
2021,6,23,22,245.44,4,1
2021,6,23,23,243.94,4,1
2021,6,23,24,242.32,4,1
2021,6,24,1,233.02,5,1
2021,6,24,2,227.38,5,1
2021,6,24,3,222.02,5,1
2021,6,24,4,216.48,5,1
2021,6,24,5,208.54,5,1
2021,6,24,6,192.78,5,1
2021,6,24,7,188.68,5,1
2021,6,24,8,189.28,5,1
2021,6,24,9,197.44,5,1
2021,6,24,10,206.28,5,1
2021,6,24,11,209.94,5,1
2021,6,24,12,214.5,5,1
2021,6,24,13,214.38,5,1
2021,6,24,14,217.2,5,1
2021,6,24,15,218.84,5,1
2021,6,24,16,219.12,5,1
2021,6,24,17,209.76,5,1
2021,6,24,18,199.98,5,1
2021,6,24,19,217.0,5,1
2021,6,24,20,246.66,5,1
2021,6,24,21,252.08,5,1
2021,6,24,22,250.5,5,1
2021,6,24,23,249.26,5,1
2021,6,24,24,247.04,5,1
2021,6,25,1,238.14,6,1
2021,6,25,2,231.28,6,1
2021,6,25,3,221.08,6,1
2021,6,25,4,218.68,6,1
2021,6,25,5,212.02,6,1
2021,6,25,6,192.04,6,1
2021,6,25,7,184.52,6,1
2021,6,25,8,181.48,6,1
2021,6,25,9,181.24,6,1
