Year,Month,Day,Hour,Demand
2015,2,11,7,981.2672
2015,2,11,8,1165.6423
2015,2,11,9,1240.239
2015,2,11,10,1338.6218
2015,2,11,11,1368.8503
2015,2,11,12,1354.8851
2015,2,11,13,1383.6439
2015,2,11,14,1392.0556
2015,2,11,15,1352.2644
2015,2,11,16,1299.7261
2015,2,11,17,1184.4338
2015,2,11,18,1183.8355
2015,2,11,19,1178.5514
2015,2,11,20,1139.3629
2015,2,11,21,1076.4885
2015,2,11,22,1021.898
2015,2,11,23,1002.074
2015,2,12,0,961.4447
2015,2,12,1,889.6502
2015,2,12,2,867.8406
2015,2,12,3,846.8156
2015,2,12,4,840.7279
2015,2,12,5,839.8661
2015,2,12,6,902.7975
2015,2,12,7,991.4981
2015,2,12,8,1161.8127
2015,2,12,9,1271.0362
2015,2,12,10,1327.1989
2015,2,12,11,1373.452
2015,2,12,12,1363.3484
2015,2,12,13,1388.2038
2015,2,12,14,1402.0434
2015,2,12,15,1348.6144
2015,2,12,16,1289.1745
2015,2,12,17,1176.8976
2015,2,12,18,1145.8117
2015,2,12,19,1148.0541
2015,2,12,20,1104.2189
2015,2,12,21,1081.2243
2015,2,12,22,1011.6547
2015,2,12,23,1008.318
2015,2,13,0,964.9228
2015,2,13,1,896.513
2015,2,13,2,875.0788
2015,2,13,3,856.1456
2015,2,13,4,861.3259
2015,2,13,5,866.2931
2015,2,13,6,922.5536
2015,2,13,7,1022.5215
2015,2,13,8,1198.8038
2015,2,13,9,1294.0633
2015,2,13,10,1377.8942
2015,2,13,11,1396.7702
2015,2,13,12,1394.7901
2015,2,13,13,1402.9209
2015,2,13,14,1366.2013
2015,2,13,15,1293.1245
2015,2,13,16,1223.5003
2015,2,13,17,1129.3467
2015,2,13,18,1143.2534
2015,2,13,19,1141.4636
2015,2,13,20,1107.7908
2015,2,13,21,1071.6725
2015,2,13,22,1036.1285
2015,2,13,23,1040.9801
2015,2,14,0,991.0448
2015,2,14,1,914.5731
2015,2,14,2,885.624
2015,2,14,3,870.8789
2015,2,14,4,875.9045
2015,2,14,5,870.0662
2015,2,14,6,857.9163
2015,2,14,7,880.2306
2015,2,14,8,980.0485
2015,2,14,9,1044.919
2015,2,14,10,1104.5938
2015,2,14,11,1128.3579
2015,2,14,12,1112.4993
2015,2,14,13,1091.919
2015,2,14,14,1074.3496
2015,2,14,15,1063.1256
2015,2,14,16,1029.86
2015,2,14,17,1011.6091
2015,2,14,18,1056.0223
2015,2,14,19,1089.9817
2015,2,14,20,1061.7636
2015,2,14,21,1031.6292
2015,2,14,22,1013.0005
2015,2,14,23,960.9033
2015,2,15,0,772.6091
2015,2,15,1,777.7424
2015,2,15,2,721.5908
2015,2,15,3,726.2926
2015,2,15,4,739.3178
2015,2,15,5,891.8485
2015,2,15,6,906.4375
2015,2,15,7,903.3965
2015,2,15,8,879.429
2015,2,15,9,881.1719
2015,2,15,10,963.7727
2015,2,15,11,1040.6698
2015,2,15,12,1034.9466
2015,2,15,13,999.0671
2015,2,15,14,935.3522
2015,2,15,15,986.0491
2015,2,15,16,951.7673
2015,2,15,17,903.6628
2015,2,15,18,982.2524
2015,2,15,19,1087.0682
2015,2,15,20,1065.3519
2015,2,15,21,1031.6434
2015,2,15,22,1011.4377
2015,2,15,23,1018.7136
2015,2,16,0,889.5827
2015,2,16,1,855.1763
2015,2,16,2,837.7922
2015,2,16,3,810.3832
2015,2,16,4,810.5143
2015,2,16,5,809.4014
2015,2,16,6,814.6222
2015,2,16,7,821.2241
2015,2,16,8,873.1331
2015,2,16,9,933.1287
2015,2,16,10,963.9245
2015,2,16,11,978.2039
2015,2,16,12,977.209
2015,2,16,13,997.3467
2015,2,16,14,995.8827
2015,2,16,15,971.8595
2015,2,16,16,948.933
2015,2,16,17,938.3557
2015,2,16,18,963.0348
2015,2,16,19,1015.472
2015,2,16,20,997.2683
2015,2,16,21,979.3511
2015,2,16,22,943.8603
2015,2,16,23,905.4094
2015,2,17,0,873.3848
2015,2,17,1,848.9863
2015,2,17,2,810.4006
2015,2,17,3,815.7231
2015,2,17,4,805.3756
2015,2,17,5,803.2793
2015,2,17,6,785.5114
2015,2,17,7,783.8398
2015,2,17,8,833.3384
2015,2,17,9,869.8341
2015,2,17,10,892.1747
2015,2,17,11,912.4911
2015,2,17,12,938.3994
2015,2,17,13,928.9795
2015,2,17,14,932.3028
2015,2,17,15,937.1515
2015,2,17,16,925.9918
2015,2,17,17,901.5055
2015,2,17,18,935.9921
2015,2,17,19,987.0666
2015,2,17,20,994.428
2015,2,17,21,984.7525
2015,2,17,22,937.2275
2015,2,17,23,894.8361
2015,2,18,0,861.3752
2015,2,18,1,819.676
2015,2,18,2,795.1622
2015,2,18,3,784.8293
2015,2,18,4,776.1898
2015,2,18,5,782.2255
2015,2,18,6,779.4305
2015,2,18,7,844.4471
2015,2,18,8,967.3872
2015,2,18,9,1048.8244
2015,2,18,10,1132.3127
2015,2,18,11,1193.7127
2015,2,18,12,1244.8451
2015,2,18,13,1273.3592
2015,2,18,14,1288.4816
2015,2,18,15,1273.6278
2015,2,18,16,1220.2693
2015,2,18,17,1133.0232
2015,2,18,18,1128.8242
2015,2,18,19,1172.3439
2015,2,18,20,1145.9714
2015,2,18,21,1127.7028
2015,2,18,22,1095.6666
2015,2,18,23,1026.2453
2015,2,19,0,946.7805
2015,2,19,1,915.9275
2015,2,19,2,894.4166
2015,2,19,3,867.5152
2015,2,19,4,862.1844
2015,2,19,5,857.3655
2015,2,19,6,869.9797
2015,2,19,7,985.4632
2015,2,19,8,1061.5641
2015,2,19,9,1199.7622
2015,2,19,10,1367.8344
2015,2,19,11,1399.5449
2015,2,19,12,1377.65
2015,2,19,13,1411.5052
